,log_rank,p_value,survival
CALU,148.7843751,3.20E-34,low
ADAM22,108.0330738,2.64E-25,high
KDELR2,121.975236,2.34E-28,low
PDIA4,118.17431,1.59E-27,low
PSMC2,111.7593023,4.03E-26,low
CHPF2,111.0810998,5.68E-26,low
CALN1,103.1643042,3.08E-24,high
AMZ1,97.21877646,6.21E-23,high
VSTM2A,89.72433412,2.74E-21,high
FAM20C,109.9244577,1.02E-25,low
MMD2,85.33449982,2.52E-20,high
CALD1,108.3125194,2.30E-25,low
PON1,77.17579919,1.56E-18,high
SLC4A2,108.2670355,2.35E-25,low
IGF2BP3,108.0291953,2.65E-25,low
GUSB,105.3012586,1.05E-24,low
TTC26,104.8360278,1.33E-24,low
ACTL6B,71.92949169,2.23E-17,high
VWC2,71.16571273,3.28E-17,high
PLOD3,104.0074757,2.02E-24,low
ZYX,103.9470214,2.08E-24,low
COL1A2,102.484748,4.35E-24,low
FKBP9,102.3530486,4.65E-24,low
NAMPT,94.32920352,2.67E-22,low
SHFM1,92.30928154,7.41E-22,low
EN2,90.84938678,1.55E-21,low
PCOLCE,89.69484843,2.78E-21,low
MYO1G,89.23119791,3.51E-21,low
CLEC5A,88.40395698,5.34E-21,low
DPP6,70.79885103,3.96E-17,high
DPY19L1,88.16020733,6.04E-21,low
RFC2,88.14033617,6.10E-21,low
DNAJC2,88.09757031,6.23E-21,low
HOXA10,85.09302713,2.85E-20,low
WBSCR22,84.3880423,4.07E-20,low
HOTAIRM1,84.00764724,4.93E-20,low
HECW1,67.82919565,1.78E-16,high
BUD31,82.81816749,9.00E-20,low
CNTNAP2,66.48385846,3.53E-16,high
LAMB1,81.11324383,2.13E-19,low
SAMD9,80.54590488,2.84E-19,low
YKT6,78.65643966,7.39E-19,low
DTX2,78.36151238,8.58E-19,low
PTPN12,78.28193568,8.93E-19,low
CNPY4,78.17666698,9.42E-19,low
NCF1,78.17126675,9.45E-19,low
IFRD1,77.18074167,1.56E-18,low
ADCYAP1R1,64.00638063,1.24E-15,high
UPP1,76.28305029,2.46E-18,low
CASP2,75.55080524,3.56E-18,low
FAM126A,75.5261171,3.61E-18,low
TMUB1,75.25041178,4.15E-18,low
CROT,74.91762494,4.91E-18,low
PTPRN2,63.37551537,1.71E-15,high
WBSCR16,73.9469041,8.02E-18,low
C7orf41,59.17594286,1.44E-14,high
RPA3,73.44811086,1.03E-17,low
WDR86,59.14057979,1.47E-14,high
FTSJ2,73.38858993,1.06E-17,low
KIAA1147,58.79645778,1.75E-14,high
MICALL2,73.03345085,1.27E-17,low
NOD1,72.70346845,1.51E-17,low
SRRT,72.24418893,1.90E-17,low
DBNL,71.81220718,2.37E-17,low
MRPL32,71.54196768,2.71E-17,low
HSPB1,69.53792025,7.50E-17,low
FLNC,68.76583324,1.11E-16,low
CAV1,68.71944201,1.14E-16,low
C7orf31,67.35346317,2.27E-16,low
CHCHD3,67.33159279,2.29E-16,low
TRIP6,67.30938457,2.32E-16,low
CREB3L2,66.76354272,3.06E-16,low
CDCA7L,66.43245584,3.62E-16,low
DGKB,58.38683383,2.15E-14,high
TMEM140,66.17836386,4.12E-16,low
PRKAG2,57.07988943,4.18E-14,high
FAM115C,65.58122032,5.58E-16,low
ARPC1A,65.54250714,5.69E-16,low
LRRC4,56.15510784,6.70E-14,high
RPS2P32,65.48488334,5.86E-16,low
BRI3,65.31415154,6.39E-16,low
LRWD1,64.64414378,8.97E-16,low
PPP1R9A,53.85302245,2.16E-13,high
TES,64.60958666,9.13E-16,low
ORAI2,64.20931722,1.12E-15,low
GNB2,64.18997614,1.13E-15,low
PON3,48.8975217,2.70E-12,high
HIPK2,47.69627495,4.98E-12,high
HEATR2,63.89088418,1.32E-15,low
TBL2,62.80891369,2.28E-15,low
GAL3ST4,62.79953984,2.29E-15,low
SEC61G,62.71358899,2.39E-15,low
FZD1,62.69477642,2.41E-15,low
NFE2L3,62.32656224,2.91E-15,low
SNX8,61.97493638,3.48E-15,low
TWIST1,61.73173012,3.94E-15,low
SRRM3,47.48693747,5.54E-12,high
SERPINE1,61.29477938,4.91E-15,low
GPR22,45.68532325,1.39E-11,high
STK17A,61.19607106,5.17E-15,low
TMEM196,44.44177268,2.62E-11,high
TMEM130,41.52021786,1.17E-10,high
SAMD9L,61.15432484,5.28E-15,low
TMEM60,61.09114812,5.45E-15,low
PPP1R35,60.40081177,7.74E-15,low
GHRHR,41.45360004,1.21E-10,high
HOXA4,60.24064058,8.39E-15,low
GPNMB,59.67890333,1.12E-14,low
INSIG1,41.41734522,1.23E-10,high
GNAI1,40.09653045,2.42E-10,high
C7orf49,59.38738124,1.29E-14,low
NCAPG2,59.37827754,1.30E-14,low
HNRNPA2B1,59.21448284,1.41E-14,low
SEMA3D,39.71407899,2.94E-10,high
PDAP1,58.73517182,1.80E-14,low
CLEC2L,38.8058647,4.68E-10,high
CCT6A,58.44160848,2.09E-14,low
DBF4,58.12978733,2.45E-14,low
STEAP2,38.57687143,5.26E-10,high
VIPR2,35.20898174,2.96E-09,high
TMEM209,57.77151571,2.94E-14,low
IGFBP3,57.57555683,3.25E-14,low
NPY,32.60269089,1.13E-08,high
NUP205,57.49246608,3.39E-14,low
POLR2J,57.41812518,3.52E-14,low
ZNF394,57.38350976,3.59E-14,low
NCF1B,57.37854341,3.60E-14,low
ACTB,56.15661873,6.69E-14,low
BCL7B,55.94905935,7.44E-14,low
ZNRF2,55.08926029,1.15E-13,low
UBE3C,54.90075071,1.27E-13,low
CDK6,54.81962651,1.32E-13,low
SMO,54.76847375,1.36E-13,low
EZH2,54.63673875,1.45E-13,low
CAV2,54.25433063,1.76E-13,low
ZC3HAV1,54.21501044,1.80E-13,low
FKBP9L,54.13545083,1.87E-13,low
HOXA5,53.89751962,2.11E-13,low
PARP12,53.82773906,2.19E-13,low
GARS,53.33195764,2.82E-13,low
POR,53.24830528,2.94E-13,low
C7orf73,52.10258522,5.27E-13,low
IMPDH1,51.82610385,6.06E-13,low
PUS7,51.71827152,6.41E-13,low
ARPC1B,51.38578165,7.59E-13,low
BAZ1B,51.17999872,8.43E-13,low
CREB5,50.61269306,1.13E-12,low
TMEM229A,32.33092344,1.30E-08,high
FSCN1,50.16548694,1.41E-12,low
RABL5,50.1021813,1.46E-12,low
TRA2A,49.95409488,1.57E-12,low
HOXA6,49.51296477,1.97E-12,low
COPS6,49.44863946,2.04E-12,low
ZNHIT1,49.36354241,2.13E-12,low
NXPH1,31.91140876,1.61E-08,high
ATP5J2,49.11400738,2.42E-12,low
TWISTNB,49.10696355,2.42E-12,low
SFRP4,48.88007628,2.72E-12,low
AHR,48.80350311,2.83E-12,low
ADAP1,31.1230546,2.42E-08,high
PPIA,48.50208931,3.30E-12,low
GSTK1,47.94049409,4.39E-12,low
CCZ1,47.88293352,4.52E-12,low
TTYH3,47.77875021,4.77E-12,low
RUNDC3B,31.07270315,2.49E-08,high
GRID2IP,30.6489451,3.09E-08,high
MAGI2,29.35382005,6.03E-08,high
GRM3,28.74327039,8.26E-08,high
HOXA2,47.10901983,6.71E-12,low
CDK13,46.8167587,7.79E-12,low
C7orf43,46.78704698,7.91E-12,low
TPST1,46.0555532,1.15E-11,low
CPSF4,45.83706538,1.29E-11,low
EIF3B,45.16143975,1.81E-11,low
HGF,45.12877046,1.84E-11,low
HOXA3,44.52173418,2.52E-11,low
DYNC1I1,28.55219711,9.12E-08,high
KBTBD2,44.02646175,3.24E-11,low
NCF1C,43.90624168,3.44E-11,low
ELMO1,28.25438841,1.06E-07,high
SMURF1,43.89076523,3.47E-11,low
XRCC2,43.63893808,3.95E-11,low
AEBP1,43.51266113,4.21E-11,low
PTCD1,43.28501646,4.73E-11,low
GGCT,43.2576907,4.80E-11,low
LRGUK,43.23926197,4.84E-11,low
PDGFA,43.10100115,5.20E-11,low
PSMG3,42.60289208,6.71E-11,low
RP9,41.91810564,9.52E-11,low
TMEM120A,41.61195871,1.11E-10,low
ABCB4,41.53929568,1.16E-10,low
ZC3HAV1L,41.03439688,1.50E-10,low
CBX3,40.9365327,1.57E-10,low
LRCH4,40.93319744,1.58E-10,low
TSC22D4,28.11997133,1.14E-07,high
ASL,40.57746125,1.89E-10,low
GLI3,40.41276692,2.06E-10,low
MEST,40.36414668,2.11E-10,low
TRIM56,39.72804646,2.92E-10,low
RARRES2,39.67144536,3.00E-10,low
ATP6V1F,39.59151916,3.13E-10,low
MAD1L1,39.52480607,3.24E-10,low
CPVL,39.50426861,3.27E-10,low
SSBP1,39.41692189,3.42E-10,low
NYAP1,27.76607102,1.37E-07,high
ORC5,39.15207339,3.92E-10,low
TAC1,27.16228131,1.87E-07,high
LANCL2,26.77257589,2.29E-07,high
BET1,39.07851425,4.07E-10,low
LHFPL3,25.82321237,3.74E-07,high
TBRG4,38.79613127,4.70E-10,low
BRAT1,38.58229134,5.25E-10,low
RELN,25.60036523,4.20E-07,high
HOXA7,38.01118527,7.03E-10,low
DGKI,25.46325798,4.51E-07,high
BBS9,37.6561945,8.44E-10,low
HOXA1,37.51749158,9.06E-10,low
GIMAP2,37.25992303,1.03E-09,low
HILPDA,36.95159596,1.21E-09,low
PRKAR1B,23.96799163,9.80E-07,high
ZC3HC1,36.65087235,1.41E-09,low
HTR5A,22.54083976,2.06E-06,high
CHST12,36.64791721,1.42E-09,low
ATP6V0E2,22.02619964,2.69E-06,high
HOXA9,36.32508373,1.67E-09,low
AKR1B1,36.24722395,1.74E-09,low
TAS2R4,21.95599013,2.79E-06,high
LSM5,36.21221925,1.77E-09,low
TMEM176B,35.92608661,2.05E-09,low
CCDC146,35.92589911,2.05E-09,low
DNAH11,35.86709012,2.11E-09,low
FASTK,34.43204152,4.41E-09,low
AMPH,21.88589355,2.89E-06,high
SCIN,33.35715872,7.67E-09,low
SLC25A13,33.34378367,7.72E-09,low
BZW2,33.3400997,7.74E-09,low
CUL1,33.28431442,7.96E-09,low
GNG11,33.26846647,8.03E-09,low
SDK1,33.11530757,8.69E-09,low
GALNTL5,21.64385039,3.28E-06,high
ELN,32.82454383,1.01E-08,low
KCND2,20.99854492,4.60E-06,high
DDX56,32.62705525,1.12E-08,low
CPA4,32.5301106,1.17E-08,low
NUDT1,32.52341618,1.18E-08,low
CCL26,32.4072333,1.25E-08,low
TMED4,32.19517836,1.39E-08,low
RALA,31.95125435,1.58E-08,low
ACN9,31.89282836,1.63E-08,low
BPGM,31.78425838,1.72E-08,low
KCP,31.34238373,2.16E-08,low
LAT2,31.30868677,2.20E-08,low
CFTR,18.92991158,1.36E-05,high
MPP6,18.79263378,1.46E-05,high
MRPS24,30.87817867,2.75E-08,low
MAFK,30.78075328,2.89E-08,low
AKR1B10,30.31929807,3.66E-08,low
HUS1,30.27274054,3.75E-08,low
CAMK2B,18.44079985,1.75E-05,high
PRKRIP1,30.26073744,3.78E-08,low
TRIM24,30.0368654,4.24E-08,low
GET4,29.53838514,5.48E-08,low
ABCA13,29.13682281,6.74E-08,low
EPHB4,29.08971859,6.91E-08,low
H2AFV,29.07171103,6.97E-08,low
IMMP2L,28.62272482,8.79E-08,low
THSD7A,18.28468526,1.90E-05,high
ISPD,18.25478529,1.93E-05,high
C7orf50,28.47238234,9.50E-08,low
TFEC,28.40710451,9.83E-08,low
SUMF2,28.05853086,1.18E-07,low
PODXL,27.97637437,1.23E-07,low
GATAD1,27.56107649,1.52E-07,low
NAA38,27.23698772,1.80E-07,low
NEUROD6,18.09349032,2.10E-05,high
FAM188B,27.21199432,1.82E-07,low
RINT1,27.18801284,1.85E-07,low
C7orf57,26.93700074,2.10E-07,low
TMEM176A,26.87815731,2.17E-07,low
CD36,26.85960024,2.19E-07,low
ARMC10,26.19905508,3.08E-07,low
OSBPL3,26.17675203,3.12E-07,low
GCK,25.99702392,3.42E-07,low
PAXIP1,25.61397243,4.17E-07,low
TYW1,25.38616709,4.69E-07,low
HOXA13,25.27048741,4.98E-07,low
TAF6,25.25991513,5.01E-07,low
FAM133B,25.24584142,5.05E-07,low
IL6,25.18728594,5.20E-07,low
GIMAP4,25.12075416,5.39E-07,low
ABCF2,25.01019069,5.70E-07,low
MCM7,24.96899169,5.83E-07,low
ARHGEF35,24.88929493,6.07E-07,low
PGAM2,24.66610769,6.82E-07,low
MTERF,24.63967762,6.91E-07,low
HOXA11,24.58416349,7.11E-07,low
RASA4,18.0848842,2.11E-05,high
CHRM2,17.62458996,2.69E-05,high
CTTNBP2,16.99023211,3.76E-05,high
TP53TG1,24.56670992,7.18E-07,low
OR2A9P,23.99752521,9.65E-07,low
ZNF746,23.8798584,1.03E-06,low
PLEKHA8,23.86955334,1.03E-06,low
PILRA,23.79718937,1.07E-06,low
SHH,16.34532183,5.28E-05,high
LMTK2,16.28856204,5.44E-05,high
PON2,16.19998125,5.70E-05,high
CLDN15,23.47418691,1.27E-06,low
POP7,23.18880071,1.47E-06,low
C7orf26,23.18645307,1.47E-06,low
NOM1,23.17136157,1.48E-06,low
PMS2P1,22.8741122,1.73E-06,low
TAS2R3,15.66195226,7.57E-05,high
EIF4H,22.63603398,1.96E-06,low
IRF5,22.58652773,2.01E-06,low
USP42,22.44844236,2.16E-06,low
IKZF1,22.44627948,2.16E-06,low
ZNF789,22.41786314,2.19E-06,low
CACNA2D1,15.12383991,0.000100684,high
CCZ1B,22.36937694,2.25E-06,low
CASD1,14.36595881,0.000150499,high
SEMA3A,22.24687978,2.40E-06,low
ZNF282,21.99240368,2.74E-06,low
POM121C,21.83874613,2.97E-06,low
ADCK2,21.5475574,3.45E-06,low
ARF5,21.52267462,3.50E-06,low
ZNF655,21.04426138,4.49E-06,low
ALKBH4,20.96339458,4.68E-06,low
AP4M1,20.95982667,4.69E-06,low
WBSCR17,14.31585098,0.000154558,high
FKBP14,20.92269255,4.78E-06,low
FGL2,20.8849231,4.88E-06,low
CNPY1,20.85880132,4.94E-06,low
MACC1,20.50720506,5.94E-06,low
SKAP2,20.4899944,5.99E-06,low
POLD2,20.42131874,6.21E-06,low
CUX1,14.2832451,0.000157258,high
PMS2CL,20.34030664,6.48E-06,low
EPHA1,20.1698115,7.09E-06,low
CCM2,19.86204442,8.32E-06,low
RAC1,19.80232685,8.59E-06,low
AGAP3,13.98719167,0.00018406,high
LAMB4,19.73990614,8.87E-06,low
ZNF767,19.71973582,8.97E-06,low
POM121,19.58071051,9.64E-06,low
TAX1BP1,19.52446654,9.93E-06,low
ZNF12,19.49470748,1.01E-05,low
NUB1,19.47347173,1.02E-05,low
SUN1,19.44845639,1.03E-05,low
SNX10,19.42444403,1.05E-05,low
WIPI2,19.16941193,1.20E-05,low
BCAP29,19.01335184,1.30E-05,low
FEZF1,18.93528885,1.35E-05,low
GPR85,13.73603977,0.000210379,high
BHLHA15,13.67908013,0.000216857,high
FAM3C,18.90882173,1.37E-05,low
CARD11,18.67252893,1.55E-05,low
PMS2P3,18.64117408,1.58E-05,low
TRIM73,18.55793755,1.65E-05,low
C1GALT1,18.40715062,1.78E-05,low
PIK3CG,18.29269087,1.89E-05,low
ZNF138,13.35123923,0.000258252,high
DENND2A,18.25768624,1.93E-05,low
DAGLB,18.19945499,1.99E-05,low
GCC1,18.13748723,2.06E-05,low
SRPK2,13.31737681,0.000262958,high
STAG3L3,17.97118482,2.24E-05,low
CRHR2,13.03762397,0.000305295,high
JAZF1-AS1,12.76841874,0.000352521,high
TBXAS1,17.93385104,2.29E-05,low
ZNF800,17.78247962,2.48E-05,low
GTF2IRD2,17.75789198,2.51E-05,low
KLHL7,17.70387589,2.58E-05,low
NRF1,17.68682721,2.60E-05,low
GTF2IRD1,17.52451795,2.84E-05,low
07-Sep,17.42623698,2.99E-05,low
PCLO,12.75389803,0.000355268,high
SLC12A9,17.30859942,3.18E-05,low
NSUN5P2,17.26254401,3.26E-05,low
COBL,12.65794817,0.000373972,high
STEAP1,17.20231057,3.36E-05,low
HBP1,16.97607705,3.79E-05,low
ZNF212,16.82295832,4.10E-05,low
CRCP,16.61670828,4.57E-05,low
DDC,12.53824086,0.000398707,high
TMEM168,16.56170653,4.71E-05,low
CYP51A1,12.48351298,0.000410559,high
RP9P,16.52829252,4.79E-05,low
LIMK1,16.35459239,5.25E-05,low
AOAH,16.2721444,5.49E-05,low
MET,16.25313327,5.54E-05,low
VOPP1,16.20347585,5.69E-05,low
SPDYE3,16.0447885,6.19E-05,low
BLVRA,15.95394013,6.49E-05,low
ATP5J2-PTCD1,15.43771662,8.53E-05,low
NUPL2,15.41503005,8.63E-05,low
FBXL13,15.01229647,0.000106813,low
ABCB1,12.29156733,0.000455009,high
DPY19L2P4,12.23757446,0.000468367,high
GPR141,14.95938896,0.00010985,low
GIMAP1,14.86147152,0.000115702,low
SLC37A3,14.75008941,0.000122742,low
MDH2,14.73490842,0.000123734,low
PHF14,14.73059773,0.000124017,low
PMPCB,14.35724064,0.000151197,low
TFPI2,14.20064382,0.000164314,low
ZNF786,14.04395917,0.000178587,low
NDUFA5,12.22570763,0.000471355,high
GTPBP10,13.64854949,0.000220412,low
EEPD1,11.39305687,0.000737191,high
ZNF853,11.26869627,0.000788251,high
KRBA1,13.5379887,0.000233783,low
CDK14,11.23878913,0.000801054,high
DTX2P1-UPK3BP1-PMS2P11,13.50286978,0.000238199,low
TRPV6,10.99788125,0.000912161,high
CLDN4,13.1543193,0.000286857,low
KIAA0895,13.10075995,0.000295176,low
STARD3NL,13.10057706,0.000295205,low
NSUN5,13.03280203,0.000306082,low
MOSPD3,13.00315567,0.000310966,low
POT1,12.863285,0.000335092,low
NOS3,12.77815459,0.000350691,low
POLM,12.6792202,0.000369742,low
DMTF1,12.36263834,0.000438011,low
BMPER,10.88652499,0.000968664,high
RNF216,12.30828512,0.000450952,low
ZP3,12.1137502,0.000500514,low
FIGNL1,12.0823256,0.000509021,low
MDFIC,11.73674856,0.00061278,low
TNPO3,11.34563096,0.000756257,low
ZDHHC4,11.3126447,0.00076981,low
RHEB,11.2655985,0.000789567,low
STEAP1B,11.22359154,0.00080764,low
SNHG15,11.1675098,0.000832423,low
KIAA0087,10.85508672,0.000985247,high
PHTF2,11.10884963,0.000859168,low
ZFAND2A,10.92135645,0.00095062,low
RBM28,10.89618234,0.000963627,low
INMT,10.88203012,0.000971018,low
