,log_rank,p_value,long_survival
A1BG,42.65060466824425,6.544419520744208e-11,low
ACPT,1.05517529805692,0.30431817277276424,low
ACTN4,83.95078003793715,5.0724751389167124e-20,low
ADCK4,50.43521386242608,1.2316427789030664e-12,low
AKT1S1,26.921534413807358,2.1188486774398513e-07,low
AKT2,73.04776539770074,1.2654979960504334e-17,low
ALDH16A1,38.71646319547834,4.900581958602588e-10,low
ALKBH6,54.57057174862609,1.49964567737218e-13,low
ANKRD27,1.3208086192204822,0.25044698038236,high
AP2A1,0.4534391263904722,0.5007062765740109,low
AP2S1,105.15561619829627,1.1291086913518193e-24,low
APLP1,10.129468197012077,0.0014591750142938914,low
APOC1,16.77607728493008,4.2060225927932437e-05,low
APOC1P1,9.825114270418847,0.0017214500571351085,low
APOC2,61.78541805233784,3.8300013708400786e-15,low
APOC4,2.0530770506214076,0.15189892057062185,low
APOE,24.856244630043648,6.176862621411271e-07,high
ARHGAP33,11.144931988987118,0.0008426156219213219,high
ARHGEF1,21.80875040099379,3.0122322083576445e-06,low
ASPDH,26.079481516360556,3.2764745346168433e-07,low
ATF5,96.85309447894788,7.46667519787613e-23,low
ATP1A3,74.52764759626277,5.979497022831186e-18,high
ATP4A,4.55521587433532,0.032818626372112684,low
ATP5SL,76.63894379413343,2.0525195341423905e-18,low
AURKC,31.470040391142106,2.0254134031217942e-08,low
AXL,15.923162548615974,6.596647318080469e-05,low
B3GNT8,62.53732588372835,2.6144237424317206e-15,low
B9D2,49.04142466796528,2.5061347981243553e-12,low
BAX,77.64882869086551,1.2308927495923442e-18,low
BBC3,3.9402256452223403,0.04714445341615633,low
BCAM,51.28164302227143,8.002042447579866e-13,low
BCAT2,53.17975801769424,3.0437923133751325e-13,low
BCKDHA,1.5143106114904616,0.218482501757432,high
BCL2L12,120.86864873931535,4.082892804778688e-28,low
BCL3,91.94758222287619,8.90030419613119e-22,low
BIRC8,0.00370988780749843,0.9514318025663746,low
BLOC1S3,22.370953951656098,2.2474745676035375e-06,low
BLVRB,44.479747886879714,2.5700204102562012e-11,low
BRSK1,15.649121193054555,7.624800504760785e-05,low
BSPH1,0.04433149284102718,0.8332380790360319,high
C19orf12,30.42224360361004,3.475203194256794e-08,low
C19orf18,10.852763130565526,0.0009864845067060729,low
C19orf33,0.3948066380967438,0.5297835877430386,low
C19orf40,102.24225740502419,4.913061677311205e-24,low
C19orf46,2.9561813580758276,0.08554976448747718,low
C19orf47,47.42807722866955,5.705952110977664e-12,low
C19orf48,88.69957554404616,4.595638234204583e-21,low
C19orf51,29.983254473667138,4.357935422922598e-08,low
C19orf54,16.258807601621932,5.52521499524706e-05,low
C19orf55,61.6555029297564,4.091221340172079e-15,low
C19orf63,42.34237960258304,7.661427026679831e-11,low
C19orf69,57.01183859606334,4.331962935112154e-14,low
C19orf73,0.22694215993155042,0.6338004990668868,low
C19orf75,0.042406273410883114,0.836847281867834,low
C19orf76,5.7633085038380845,0.01636422996806226,low
C5AR1,64.534534575887,9.48551479618814e-16,low
CA11,36.15428319857995,1.8229736152245508e-09,high
CABP5,5.686417652699683,0.017096721313512683,high
CACNG6,1.9288248649934776,0.16488706792071123,high
CACNG7,33.09995223954216,8.754087182536604e-09,high
CACNG8,9.903939987498532,0.0016492529684252054,high
CADM4,11.520055014130625,0.0006884935208120434,same
CALM3,5.984009292373333,0.014436148923620896,high
CAPN12,30.771005834124697,2.9034376861712082e-08,low
CAPNS1,104.64159265854029,1.4635219030070758e-24,low
CARD8,20.224641615447954,6.886019666274501e-06,low
CATSPERG,18.95921157298939,1.335429614810832e-05,low
CBLC,0.5714043119187672,0.4497014192790929,low
CCDC106,5.194213835470541,0.022662203395998684,low
CCDC114,10.855146659480447,0.0009852155986443474,low
CCDC155,0.04570141050373184,0.8307194937714962,high
CCDC61,29.783367999174178,4.831189067793055e-08,low
CCDC8,119.33829289969265,8.830863680070513e-28,low
CCDC9,17.19241068327081,3.377831073240112e-05,low
CCDC97,20.176348609337655,7.062072569792499e-06,low
CCNE1,48.749107216241654,2.908909417956011e-12,low
CD177,1.5664211141971112,0.21072751681776755,same
CD22,2.1475158092756894,0.14280077923837073,low
CD33,39.8796287037378,2.7010564322030344e-10,low
CD37,27.186327028288336,1.8476071234123944e-07,low
CD3EAP,27.8229254347392,1.3294145249006346e-07,low
CD79A,0.6922705082815962,0.40539316875225007,low
CDC42EP5,43.57454827396467,4.081124896751604e-11,low
CEACAM1,87.38074489281149,8.951774844448957e-21,low
CEACAM16,2.2252594329437527,0.13576984973771825,low
CEACAM18,0.0016972119195213685,0.9671386603929291,same
CEACAM19,0.27236634939352805,0.6017488043054969,low
CEACAM20,0.023387754925991825,0.8784530392146466,same
CEACAM21,8.349616872326669,0.0038576866520105965,low
CEACAM22P,10.918327238594467,0.0009521754688397201,low
CEACAM3,15.039794104257002,0.00010526794401419575,low
CEACAM4,29.30099846433952,6.196375583615603e-08,low
CEACAM5,0.49218012172473163,0.48295641057193306,high
CEACAM6,1.4241678580453807,0.232718610449482,low
CEACAM7,0.23984576549309464,0.6243175332373913,same
CEACAM8,17.670137248510542,2.6271899332381057e-05,same
CEBPA,33.74104790077987,6.295809834463306e-09,low
CEBPG,37.80691165131286,7.810456257902934e-10,low
CGB,0.4675969924246268,0.49409474647959395,high
CGB1,0.010867851785529485,0.9169717578334312,high
CGB2,0.2717657752072042,0.6021497275413312,high
CGB5,0.12174536826152468,0.72714915267737,low
CGB7,24.618036095673233,6.989448996754661e-07,low
CGB8,0.018938284811048495,0.890543561188612,same
CHMP2A,41.375776694055446,1.2560422164280313e-10,low
CHST8,7.413806932380138,0.0064725220647660715,low
CIC,0.1956427535554153,0.6582611190166938,low
CKM,59.380826710283365,1.2992883726917431e-14,low
CLC,0.6051751100182851,0.4366102717679118,low
CLDND2,1.3089207913525338,0.2525901449377092,low
CLEC11A,67.39440837403183,2.222784735699652e-16,low
CLIP3,72.0580045705566,2.089638218320705e-17,high
CLPTM1,15.231976941336372,9.507977113961979e-05,low
CNFN,12.615725354023969,0.0003825150746812497,low
CNOT3,43.34946547638759,4.5786129756763256e-11,low
CNTD2,32.39748648308465,1.2564889146637362e-08,low
COX6B1,57.49832353525053,3.382674825245406e-14,low
COX6B2,31.938710613779307,1.5911442497622828e-08,low
COX7A1,3.770941189597212,0.05215028053445935,low
CPT1C,0.20077755993064164,0.6540939527575513,low
CRX,0.0181522854287605,0.8928250226804246,low
CTU1,48.41522135670438,3.448808176108264e-12,low
CXCL17,0.036327195512168176,0.8488413837120783,low
CYP2A13,1.3388647552857955,0.24723427014491745,high
CYP2A6,98.03075251279058,4.119352380482648e-23,high
CYP2A7,31.182857294511454,2.3483069871783076e-08,high
CYP2B6,0.4118310450661944,0.5210415992932051,high
CYP2B7P1,27.307333722672126,1.7355192065943656e-07,high
CYP2F1,4.9603747560155425,0.02593458627586358,high
CYP2S1,82.47843780095033,1.0682917972039975e-19,low
CYTH2,4.415526307972998,0.03561329092104289,low
DACT3,27.96348267767578,1.2362655851293487e-07,high
DBP,48.56777730815803,3.190688636256527e-12,high
DEDD2,90.51451183759579,1.8362516393520247e-21,low
DHDH,8.713349914060402,0.00315888206802256,low
DHX34,44.33965544356283,2.7606694292205623e-11,low
DKFZp434J0226,69.68108010265038,6.971158396429977e-17,high
DKFZp566F0947,0.002451161520327108,0.9605135005365625,low
DKKL1,50.31522249165023,1.3092996282675667e-12,low
DLL3,102.482661397995,4.3515971078298085e-24,high
DMKN,8.263116970638587,0.0040458603564643035,high
DMPK,3.713893015122343,0.05396139508405591,low
DMRTC2,6.573098914569472e-06,0.997954381373218,high
DMWD,1.4592271271108566,0.2270531329388751,low
DPF1,8.4037894183599,0.003744396597001351,high
DPRX,0.07543515102906109,0.7835816116508699,high
DPY19L3,0.282745003791573,0.5949076625760898,high
DUXA,0.00876028162541479,0.925429788404611,high
DYRK1B,0.20471795726165387,0.6509392980943243,low
ECH1,1.4403767126236369,0.23007838988817927,high
EGLN2,48.21816467383908,3.8133935177976336e-12,low
EHD2,100.9055716794698,9.647477871475991e-24,low
EID2,29.02268537232106,7.153565974979865e-08,low
EID2B,10.468229882167625,0.0012144502874645554,low
EIF3K,40.13199182832123,2.373696048535041e-10,low
ELSPBP1,3.7734306033426406e-05,0.9950987651388814,low
EML2,0.5395040171096694,0.46263835053635893,low
EMP3,149.32653914950862,2.433124799638863e-34,low
EPN1,5.61369782057499,0.017820618154116567,low
EPS8L1,79.1043169878588,5.891545091958591e-19,low
ERCC1,46.972906108045365,7.1974847804605905e-12,low
ERCC2,5.950461510749468,0.014713433562564696,low
ERF,46.87766764586657,7.555882496225007e-12,low
ETFB,0.01188790408161502,0.9131773746102035,low
ETHE1,88.74522780866546,4.490794940298937e-21,low
ETV2,81.37237350527741,1.8695318425057295e-19,low
EXOC3L2,80.90531711764143,2.3679567454511407e-19,low
EXOSC5,0.14303260752528435,0.7052846106713555,low
FAM187B,3.1885588721787474,0.07415535831322538,high
FAM71E1,9.48948623170972,0.002066526809305323,low
FAM71E2,8.244870297136005,0.004086732902827124,low
FAM83E,0.6667252722994064,0.41419566122071805,low
FAM98C,11.428035314020738,0.0007234414307447248,low
FBL,4.739618554943753,0.029475605947952753,low
FBXO17,132.91061915045944,9.457529543675826e-31,low
FBXO27,1.2212349663955369,0.2691184254760836,high
FBXO46,1.5734222327448173,0.20971071779775965,high
FCAR,25.532498441577346,4.349939079106654e-07,low
FCGBP,75.44741830760441,3.7526858987176684e-18,low
FCGRT,47.58931165664354,5.255423801425308e-12,low
FFAR1,4.690436627443916,0.030330939129657408,low
FFAR2,17.65431455497299,2.649136440490029e-05,low
FFAR3,0.09882552276049729,0.7532436308284315,low
FGF21,0.5284989636723003,0.46723861077922535,same
FIZ1,16.234595384032552,5.596277193574481e-05,low
FKBP1AP1,25.59320163348612,4.2152188999624887e-07,high
FKRP,57.12275914521208,4.094399509151461e-14,low
FLJ26850,40.1339712825158,2.3712920255690196e-10,low
FLT3LG,34.09545626297535,5.247365240805821e-09,low
FOSB,0.9149514517589132,0.3388040572155471,low
FOXA3,7.258622670360021,0.007056138656592876,high
FPR1,41.73427593759376,1.0455977750704109e-10,low
FPR2,43.846318505005456,3.551986508793363e-11,low
FPR3,64.02212408328651,1.2302982008497215e-15,low
FTL,80.1359462750638,3.4951576408023025e-19,low
FUT1,1.0901101368932837,0.296446807385339,high
FUT2,0.8782442655225501,0.34868301220561904,low
FUZ,7.224724505214037,0.007190620692799232,low
FXYD1,4.3372686022145315,0.03728669519105639,low
FXYD3,23.514242962675855,1.2399245854034127e-06,low
FXYD5,74.9182361693626,4.906173298048391e-18,low
FXYD7,7.969701596815384,0.004756677952929614,high
GALP,1.014226099404002,0.3138925207979121,low
GAPDHS,0.7548991499347897,0.38492954988174855,low
GEMIN7,107.33536788077461,3.758665479830063e-25,low
GGN,64.49333226628059,9.685957450141022e-16,low
GIPR,13.257869291156087,0.000271437995525411,low
GLTSCR1,9.528842230940308,0.0020226767917242094,low
GLTSCR2,60.00426209209005,9.465218748575389e-15,high
GMFG,55.98739795219518,7.293704023959413e-14,low
GNG8,5.781570956512564,0.016195060387633377,low
GP6,7.26233103535571,0.0070415834782045494,high
GPATCH1,6.965490576822126,0.00830966469723092,high
GPI,52.875261960798404,3.5541789088273175e-13,low
GPR32,0.0025043952896761468,0.9600873782144929,high
GPR4,52.380761874902355,4.571807344443475e-13,low
GPR77,16.957243869906133,3.823116353673902e-05,low
GRAMD1A,4.858536928675232,0.027509655297826088,high
GRIK5,0.03315737958848078,0.8555107787042633,low
GRIN2D,22.108424069035223,2.5767649310582504e-06,high
GRWD1,77.52869270885972,1.308083533525342e-18,low
GSK3A,13.734136753892754,0.0002105918466375942,low
GYS1,65.06523424297205,7.245921206165942e-16,low
HAMP,63.5811681484164,1.5389333432946416e-15,low
HAS1,4.267211825821194,0.03885463511565485,low
HAUS5,39.89305272555388,2.6825563934760935e-10,low
HCST,44.940975768963376,2.0306386966266803e-11,low
HIF3A,0.9455575927691895,0.33085265752984455,low
HIPK4,5.917216664598444,0.014993626275172483,high
HKR1,34.0821826379952,5.283282350702252e-09,low
HNRNPL,12.00488847340786,0.0005306118640185281,low
HNRNPUL1,1.3403705380190265,0.24696863366563196,high
HPN,1.9768162432359417,0.15972621108380336,low
HRC,2.498005258226733,0.11399059653668399,high
HSD17B14,13.74441391224995,0.00020944275140034213,low
HSPB6,87.0501613979173,1.0580340620972799e-20,low
HSPBP1,27.78390802064447,1.3564972051186052e-07,low
IGFL1,11.724298636814423,0.0006168929372201441,high
IGFL2,2.634638250255878,0.10455587339106251,same
IGFL3,38.86816572638046,4.5341480355249373e-10,low
IGFL4,34.174029012494,5.0397074865984625e-09,high
IGLON5,7.5679235010495844,0.005941619810977891,high
IL11,23.69984168398124,1.1259179808537604e-06,low
IL28A,0.009370637435630444,0.922883593655986,low
IL28B,0.03195703497799408,0.858121987440402,same
IL29,0.13689636344884445,0.7113861520239066,low
IL4I1,68.96036787917616,1.0046213242579422e-16,low
IRF2BP1,6.869510887953816,0.008767864537803037,low
IRF3,50.562762121898224,1.154142378252283e-12,low
IRGC,2.527790028112816,0.1118567791986894,high
IRGQ,0.17259077176736934,0.6778194965743906,low
ISOC2,36.73630038996383,1.3523763384608037e-09,low
ITPKC,80.70747833110084,2.617297821832248e-19,low
IZUMO1,21.981576138428505,2.7528032822405594e-06,high
JOSD2,34.06327081831242,5.3348815610696715e-09,low
KCNA7,0.1973309258880151,0.6568839264142029,low
KCNC3,19.316617204812808,1.107384031790542e-05,low
KCNJ14,5.936790710357914,0.014827994737122981,low
KCNK6,20.10032433461653,7.348421318265336e-06,low
KCNN4,73.57227825259201,9.701771938336912e-18,low
KCTD15,6.9513563195535095,0.008375570916253726,high
KDELR1,106.51867282006495,5.675519780751694e-25,low
KIAA0355,6.237866072673263,0.012504705596389058,high
KIR2DL1,0.08995141774066477,0.7642389269820136,low
KIR2DL3,0.12658900292638364,0.7219952295704017,high
KIR2DL4,6.943298322301102,0.00841338344630328,high
KIR2DS4,0.017935365668135257,0.8934634753259586,high
KIR3DL1,0.08078653389820475,0.7762343407780736,low
KIR3DL2,0.7185894101794947,0.39660699830143886,high
KIR3DL3,0.03089442865930983,0.860476123706691,low
KIR3DX1,1.3550868501668056,0.24439079161458507,high
KIRREL2,11.746777272013452,0.0006094868036332881,low
KLC3,4.4231839164003945,0.035453822965172174,low
KLK1,7.165695755206065,0.007431086284443613,high
KLK10,15.665090542556698,7.560687589896903e-05,low
KLK11,0.9137271968648569,0.33912741401661517,same
KLK12,0.1462637650996889,0.7021317177203903,low
KLK13,5.036928960202694,0.024812439901482727,low
KLK14,12.318625584321829,0.00044846078935751596,low
KLK15,0.725301363817789,0.394410452145348,high
KLK2,0.68315125232233,0.40850370925201673,high
KLK3,1.334504085751485,0.24800551418969008,high
KLK4,3.783881602641067,0.05174848239927524,high
KLK5,19.206519241349408,1.1731207632200558e-05,high
KLK6,3.6979278096223234,0.054480088728579026,low
KLK7,23.19550775784751,1.4633877481042626e-06,high
KLK8,0.41638523138518574,0.5187462767283297,low
KLK9,0.01699305713676501,0.8962836524146033,low
KLKP1,0.018472542326594288,0.891889480285464,low
KPTN,8.100387479524741,0.004425579672176308,low
KRTDAP,0.09316602281826845,0.7601901494762588,same
LAIR1,59.83719406701761,1.030376045437969e-14,low
LAIR2,6.329065700992685,0.011877487349650362,low
LENG1,5.512529134137268,0.01888072566379355,low
LENG8,4.45913061123579,0.03471516178541272,low
LENG9,67.80338896882435,1.8063874246655276e-16,low
LEUTX,0.0006254426635621184,0.9800479031789255,same
LGALS13,0.080671961704154,0.776388846204919,low
LGALS14,0.1816339280858355,0.6699728126024989,low
LGALS4,0.03452077111373702,0.8526034382562349,low
LGALS7,18.433103996965365,1.759741658174937e-05,low
LGALS7B,1.5577260225202976,0.21199848513388111,low
LGI4,3.0714840652387334,0.07967670413285427,low
LHB,6.988175563943984,0.008204994624988544,low
LIG1,67.42546079159499,2.1880497825389008e-16,low
LILRA1,12.623983269447217,0.00038082895986775065,high
LILRA2,45.32498546728408,1.6690619727015914e-11,low
LILRA3,18.21552443571934,1.9726435160977436e-05,low
LILRA4,1.5768848601978644,0.20920997544205627,high
LILRA5,64.10596481966685,1.1790403619373397e-15,low
LILRA6,93.40202440477218,4.268139695025902e-22,low
LILRB1,27.142357331868194,1.8901093229349622e-07,low
LILRB2,47.414780702461,5.7447876479301514e-12,low
LILRB3,69.20844866151141,8.858774715503052e-17,low
LILRB4,14.794145819759771,0.00011990716099787855,low
LILRB5,11.787902301902825,0.0005961687458584618,high
LILRP2,0.08606693100035481,0.7692380848315845,high
LIM2,0.013188074064066819,0.9085724663251468,low
LIN37,5.367852722421896,0.020511212773353455,low
LIN7B,1.9530876141307731,0.16225451907817082,low
LIPE,36.725570240455966,1.3598404674250076e-09,high
LMTK3,45.05778639019607,1.913050902428371e-11,high
LOC100101266,4.3999795629732175,0.03593936125560949,low
LOC100128675,1.1987851828904854,0.27356461633292806,low
LOC100129935,6.789144324707033e-05,0.9934258036956345,same
LOC100131691,14.369190175809491,0.00015024057184598,low
LOC147804,24.40227590938009,7.817628345158459e-07,low
LOC148145,89.34435488486425,3.3173744159329684e-21,high
LOC148189,5.170612274622681,0.022972117867581285,high
LOC284379,0.006248100600494786,0.9369968876694277,low
LOC80054,3.3436226084093983,0.06746592120118716,low
LRFN1,1.9141411143015823,0.16650398165307356,low
LRFN3,5.456925439467322,0.01949091312740415,low
LRP3,0.04300562980474203,0.8357146721642552,low
LRRC4B,0.13665885365015956,0.7116254192743416,low
LSM14A,17.66088067501819,2.6400067786548474e-05,high
LSR,43.68710793611212,3.853016008598729e-11,high
LTBP4,2.205423986576823,0.1375260774124496,low
LYPD3,4.111986920795155,0.0425803098779327,low
LYPD4,0.06735838993149056,0.7952225198786482,high
LYPD5,9.590510452345793,0.001955855645573602,high
MAG,6.7673402207681,0.009284109788319918,low
MAMSTR,0.6313136823361682,0.426873855718635,low
MAP3K10,15.414240183725449,8.633523499035418e-05,high
MAP4K1,22.88585609217981,1.7191221097504608e-06,low
MARK4,0.6183064218184428,0.43167732722739105,low
MBOAT7,48.827480428622586,2.794961743670945e-12,low
MED25,1.7468796317083546,0.18626948746635041,low
MED29,0.006630432075465118,0.9351020076239428,high
MEGF8,0.08673424681155965,0.7683706789986351,low
MEIS3,18.707561783316635,1.5237701326475637e-05,low
MGC2752,59.130469840091884,1.4755661206900413e-14,low
MIA,45.870292942792894,1.2634749408060939e-11,low
MIMT1,8.74670905258799,0.003101612803265319,high
MLL4,0.01776388571853504,0.8939709730827765,high
MRPS12,116.88688169223164,3.0391637878652484e-27,low
MYADM,49.774163723997056,1.725005776147872e-12,low
MYBPC2,6.542364952372233,0.010533522763308639,low
MYH14,48.60974503920912,3.123134721954484e-12,high
MYPOP,14.826942137464911,0.00011783994206809548,low
MZF1,8.329748912838593,0.003900104801997094,low
NANOS2,1.147319223861541,0.2841110338407228,low
NAPA,28.094986489282725,1.1550469021988097e-07,low
NAPSA,13.604759096049468,0.00022561285113925042,high
NAPSB,60.28557844752826,8.204633463659402e-15,low
NAT14,39.37551124645153,3.496546621304786e-10,low
NCCRP1,4.240821353128033,0.0394630710200959,low
NCR1,7.976349491524315,0.004739241329797229,low
NDUFA3,54.22602977482585,1.7870384142774537e-13,low
NFKBIB,20.900445499098254,4.837820688288329e-06,low
NFKBID,7.720101306432024,0.005460933188602621,low
NKG7,57.24793051218265,3.8419315567592937e-14,low
NKPD1,41.78975438141551,1.0163460246603676e-10,high
NLRP11,2.8726421905137403,0.09009684522971798,low
NLRP12,55.5286992962626,9.210446617637192e-14,low
NLRP13,0.013411977132529214,0.9078030530242718,same
NLRP2,0.10160646724459116,0.749910261603965,low
NLRP4,0.8031007748841844,0.37016790283834533,high
NLRP5,0.004849281704310823,0.9444827584891693,high
NLRP7,3.028778583175966,0.0817995728857762,low
NLRP8,0.005941485362761881,0.9385590830502291,high
NLRP9,11.479884358617536,0.0007035350739954642,low
NOSIP,17.37921417164384,3.061558615287574e-05,low
NOVA2,8.85058963208114,0.002929942252273762,high
NPAS1,4.13156785680064,0.042090337562253374,low
NPHS1,39.77720960675813,2.846472724925533e-10,high
NR1H2,1.5707463393859489,0.21009866024565607,low
NTF4,14.026806835181088,0.00018022292256729137,low
NTN5,0.2564071862116395,0.6125992806514579,high
NUCB1,98.3721175706475,3.467067255805061e-23,low
NUDT19,113.84995991765669,1.40551235113887e-26,low
NUMBL,32.213371493483486,1.3813680721573502e-08,low
NUP62,52.359955684287435,4.620502188891124e-13,low
OPA3,70.05377168177648,5.770968251268006e-17,low
OSCAR,54.77797865661174,1.3494436975096172e-13,low
PAF1,0.01406524175612881,0.9055946644538745,low
